County,State,Thousand Dry Tonnes/Yr
Ste. Genevieve,Missouri,3.7945
Taney,Missouri,6.0217
Texas,Missouri,26.818
Vernon,Missouri,8.4037
Warren,Missouri,11.916
Washington,Missouri,16.87
Webster,Missouri,4.3977
Boone,Nebraska,0.084323
Box Butte,Nebraska,0
Boyd,Nebraska,0
Brown,Nebraska,0.045994
Buffalo,Nebraska,0.2453
Burt,Nebraska,0.022997
Butler,Nebraska,0.015331
Cass,Nebraska,0
Cedar,Nebraska,0.49061
Chase,Nebraska,0
Cherry,Nebraska,0.038329
Cheyenne,Nebraska,0
Clay,Nebraska,0
Colfax,Nebraska,0.28363
Cuming,Nebraska,0.061326
Dawes,Nebraska,0.0076657048
Dawson,Nebraska,0
Fillmore,Nebraska,0
Franklin,Nebraska,0.23764
Frontier,Nebraska,0
Furnas,Nebraska,0
Gage,Nebraska,0.045994
Garden,Nebraska,0
Gosper,Nebraska,0
Hamilton,Nebraska,0
Harlan,Nebraska,0
Holt,Nebraska,3.3434
Knox,Nebraska,0.084323
Lancaster,Nebraska,0.33729
Lincoln,Nebraska,0.022997
Madison,Nebraska,0.30663
Merrick,Nebraska,0.13798
Morrill,Nebraska,0
Nance,Nebraska,0.091988
Nemaha,Nebraska,0.022997
Nuckolls,Nebraska,0
Otoe,Nebraska,0.015331
Pawnee,Nebraska,0.0076657048
Perkins,Nebraska,0
Phelps,Nebraska,0
Pierce,Nebraska,0.2453
Platte,Nebraska,0.14565
Polk,Nebraska,0.13798
Sioux,Nebraska,0
Stanton,Nebraska,0.10732
Thayer,Nebraska,0
Thurston,Nebraska,0.015331
Hampton,Virginia,0
Washington,Nebraska,0.0076657048
Wayne,Nebraska,0.42928
Webster,Nebraska,0.23764
Pitt,North Carolina,51.631
Polk,North Carolina,28.736
Randolph,North Carolina,61.54
Richmond,North Carolina,33.208
Robeson,North Carolina,42.097
Rowan,North Carolina,33.675
Rutherford,North Carolina,71.091
Sampson,North Carolina,41.594
Scotland,North Carolina,12.442
Burleigh,North Dakota,0.015331
Cass,North Dakota,0
Dunn,North Dakota,0
Emmons,North Dakota,0
Grand Forks,North Dakota,0
Grant,North Dakota,0
Kidder,North Dakota,0
LaMoure,North Dakota,0
McKenzie,North Dakota,0
McLean,North Dakota,0
Oliver,North Dakota,0
Pembina,North Dakota,5.0502
Ramsey,North Dakota,0
Richland,North Dakota,0.099654
Sioux,North Dakota,0
Stark,North Dakota,0
Stutsman,North Dakota,0
Traill,North Dakota,0.22997
Walsh,North Dakota,0
Ward,North Dakota,0
Williams,North Dakota,0
Adams,Ohio,5.0364
Allen,Ohio,1.0272
Ashland,Ohio,4.1366
Ashtabula,Ohio,5.882
Columbiana,Ohio,0.73591
Coshocton,Ohio,22.071
Crawford,Ohio,0.68991
Cuyahoga,Ohio,15.41
Defiance,Ohio,0.40628
Franklin,Ohio,0.022997
Gallia,Ohio,10.761
Geauga,Ohio,7.6126
Greene,Ohio,4.1395
Guernsey,Ohio,12.389
Hamilton,Ohio,0.099654
Hancock,Ohio,0.2683
Hardin,Ohio,0.091988
Harrison,Ohio,7.6237
Highland,Ohio,2.6788
Jefferson,Ohio,11.171
Knox,Ohio,1.4772
Lake,Ohio,2.1157
Lawrence,Ohio,2.4454
Licking,Ohio,4.4786
Lorain,Ohio,0.19164
Lucas,Ohio,0.27597
Madison,Ohio,0.038329
Mahoning,Ohio,3.2196
Medina,Ohio,6.4333
Meigs,Ohio,8.0667
Monroe,Ohio,0.91222
Montgomery,Ohio,0
Morgan,Ohio,4.8141
Muskingum,Ohio,6.9935
Noble,Ohio,10.189
Ottawa,Ohio,0.030663
Putnam,Ohio,0
Richland,Ohio,2.4047
Ross,Ohio,42.94
Sandusky,Ohio,1.7401
Scioto,Ohio,26.8
Stark,Ohio,5.9391
Summit,Ohio,6.4339
Trumbull,Ohio,10.172
Tuscarawas,Ohio,22.054
Warren,Ohio,5.8961
Washington,Ohio,12.731
Wayne,Ohio,8.1728
Wood,Ohio,0.30663
Wyandot,Ohio,0.068991
Atoka,Oklahoma,7.2382
Beaver,Oklahoma,0
Blaine,Oklahoma,0
Bryan,Oklahoma,5.3017
Caddo,Oklahoma,0
Cleveland,Oklahoma,0
Comanche,Oklahoma,0
Cotton,Oklahoma,0
Creek,Oklahoma,0
Ellis,Oklahoma,0
Garfield,Oklahoma,0.013562
Garvin,Oklahoma,0
Grady,Oklahoma,0
Greer,Oklahoma,0
Le Flore,Oklahoma,21.588
Lincoln,Oklahoma,0
Marshall,Oklahoma,0
Murray,Oklahoma,0
Muskogee,Oklahoma,0
Noble,Oklahoma,0
Okfuskee,Oklahoma,0
Oklahoma,Oklahoma,0
Okmulgee,Oklahoma,0
Osage,Oklahoma,0
Carbon,Pennsylvania,1.5025
Centre,Pennsylvania,19.901
Chester,Pennsylvania,6.2564
Clarion,Pennsylvania,13.922
Clearfield,Pennsylvania,45.011
Clinton,Pennsylvania,13.132
Columbia,Pennsylvania,13.238
Crawford,Pennsylvania,12.831
Cumberland,Pennsylvania,5.422
Dauphin,Pennsylvania,7.0466
Delaware,Pennsylvania,2.6064
Elk,Pennsylvania,30.256
Erie,Pennsylvania,4.2161
Lehigh,Pennsylvania,4.5611
Luzerne,Pennsylvania,13.055
Lycoming,Pennsylvania,26.547
Schuylkill,Pennsylvania,17.153
Snyder,Pennsylvania,10.101
Somerset,Pennsylvania,26.27
Beadle,South Dakota,0
Bennett,South Dakota,0
Bon Homme,South Dakota,0
Brookings,South Dakota,0.0076657048
Brown,South Dakota,0
Brule,South Dakota,0
Butte,South Dakota,0.32196
Charles Mix,South Dakota,0
Day,South Dakota,0
Deuel,South Dakota,0
Dewey,South Dakota,0
Edmunds,South Dakota,0
Fall River,South Dakota,0.05366
Grant,South Dakota,0
Gregory,South Dakota,0.0076657048
Hand,South Dakota,0
Hanson,South Dakota,0
Harding,South Dakota,0
Hughes,South Dakota,0
Jackson,South Dakota,0
Jones,South Dakota,0
Kingsbury,South Dakota,0
Lawrence,South Dakota,32.113
Lincoln,South Dakota,0.05366
Lyman,South Dakota,0
McCook,South Dakota,0
McPherson,South Dakota,0
Minnehaha,South Dakota,0.022997
Pennington,South Dakota,39.172
Perkins,South Dakota,0
Potter,South Dakota,0
Humphreys,Tennessee,25.423
Jackson,Tennessee,12.749
Jefferson,Tennessee,1.7455
Johnson,Tennessee,4.7021
Knox,Tennessee,3.4614
Sullivan,Tennessee,3.2868
Sumner,Tennessee,9.7
Tipton,Tennessee,3.0521
Angelina,Texas,54.12
Aransas,Texas,0
Atascosa,Texas,0
Austin,Texas,0
Bandera,Texas,0
Bastrop,Texas,0
Bee,Texas,0
Bell,Texas,0
Bexar,Texas,0
Bosque,Texas,0
Bowie,Texas,24.171
Brazoria,Texas,0
Brazos,Texas,0
Brewster,Texas,0
Brown,Texas,0
Burleson,Texas,0
Burnet,Texas,0
Caldwell,Texas,0
Calhoun,Texas,0
Cameron,Texas,0
Camp,Texas,1.473
Cass,Texas,74.055
Chambers,Texas,8.0377
Cherokee,Texas,115.93
Clay,Texas,0
Coleman,Texas,0
Collin,Texas,0
Colorado,Texas,0
Comal,Texas,0
Concho,Texas,0
Cooke,Texas,0
Crane,Texas,0
Crockett,Texas,0
Culberson,Texas,0
Dallas,Texas,0
Delta,Texas,0
Denton,Texas,0
DeWitt,Texas,0
Duval,Texas,0
Edwards,Texas,0
Ellis,Texas,0
El Paso,Texas,0
Erath,Texas,0
Fannin,Texas,0
Foard,Texas,0
Fort Bend,Texas,0
Franklin,Texas,3.0279
Freestone,Texas,0
Galveston,Texas,0
Goliad,Texas,0
Gonzales,Texas,0
Grayson,Texas,0
Gregg,Texas,19.307
Hardeman,Texas,0
Hardin,Texas,53.408
Harris,Texas,5.9598
Harrison,Texas,33.187
Hays,Texas,0
Henderson,Texas,8.0342
Hidalgo,Texas,0
Hill,Texas,0
Hopkins,Texas,0
Houston,Texas,25.745
Hudspeth,Texas,0
Hunt,Texas,0
Jim Wells,Texas,0
Johnson,Texas,0
Karnes,Texas,0
Kaufman,Texas,0
Kendall,Texas,0
Kenedy,Texas,0
Kinney,Texas,0
Kleberg,Texas,0
Knox,Texas,0
Lamar,Texas,0
Lampasas,Texas,0
Lavaca,Texas,0
Lee,Texas,0
Leon,Texas,3.8541
Liberty,Texas,55.619
Live Oak,Texas,0
Llano,Texas,0
Loving,Texas,0
McCulloch,Texas,0
McLennan,Texas,0
Madison,Texas,0.0076657048
Marion,Texas,32.88
Matagorda,Texas,0
Maverick,Texas,0
Medina,Texas,0
Milam,Texas,0
Mills,Texas,0
Montague,Texas,0
Montgomery,Texas,11.835
Morris,Texas,11.347
Nacogdoches,Texas,50.442
Navarro,Texas,0
Newton,Texas,65.221
Nueces,Texas,0
Orange,Texas,2.8386
Palo Pinto,Texas,0
Panola,Texas,63.631
Parker,Texas,0
Pecos,Texas,0
Polk,Texas,56.451
Presidio,Texas,0
Real,Texas,0
Red River,Texas,31.837
Reeves,Texas,0
Refugio,Texas,0
Robertson,Texas,0
Rusk,Texas,54.756
Sabine,Texas,32.675
San Augustine,Texas,69.281
San Jacinto,Texas,23.462
San Patricio,Texas,0
San Saba,Texas,0
Shelby,Texas,36.967
Smith,Texas,28.236
Starr,Texas,0
Tarrant,Texas,0
Terrell,Texas,0
Titus,Texas,6.5948
Tom Green,Texas,0
Travis,Texas,0
Trinity,Texas,25.28
Tyler,Texas,83.439
Upshur,Texas,19.419
Wichita,Texas,0
Wilbarger,Texas,0
Willacy,Texas,0
Williamson,Texas,0
Wilson,Texas,0
Wise,Texas,0
Wood,Texas,10.251
Zapata,Texas,0
Fredericksburg,Virginia,0
Hopewell,Virginia,0
Lynchburg,Virginia,0
Suffolk,Virginia,29.978
Virginia Beach,Virginia,1.1534
Newport News,Virginia,0
Norfolk,Virginia,0
Pend Oreille,Washington,29.537
Pierce,Washington,74.77
San Juan,Washington,0.29896
Skagit,Washington,59.792
Skamania,Washington,29.879
Snohomish,Washington,63.684
Spokane,Washington,8.503
Stevens,Washington,60.854
Thurston,Washington,54.733
Wayne,West Virginia,12.896
Webster,West Virginia,31.447
Wetzel,West Virginia,11.08
Wirt,West Virginia,7.9428
Wood,West Virginia,10.944
Wyoming,West Virginia,16.523
Adams,Wisconsin,9.8534
Ashland,Wisconsin,27.089
Richmond City,Virginia,0
Roanoke City,Virginia,0
Salem,Virginia,0
Door,Wisconsin,0.96588
Douglas,Wisconsin,38.016
Dunn,Wisconsin,11.504
Williamsburg,Virginia,0
Sheridan,Wyoming,0.038329
Sublette,Wyoming,0.045994
Sweetwater,Wyoming,0
Teton,Wyoming,0
Walla Walla,Washington,0.022997
Whatcom,Washington,34.03
Whitman,Washington,0.091988
Iowa,Wisconsin,5.659
Iron,Wisconsin,25.167
Jackson,Wisconsin,19.553
Jefferson,Wisconsin,0.36795
Juneau,Wisconsin,11.693
Kenosha,Wisconsin,0.038329
Kewaunee,Wisconsin,1.8014
Manitowoc,Wisconsin,3.2656
Marathon,Wisconsin,26.953
Marinette,Wisconsin,50.358
Milwaukee,Wisconsin,0.0076657048
Monroe,Wisconsin,7.365
Oconto,Wisconsin,25.456
Oneida,Wisconsin,28.623
Outagamie,Wisconsin,3.1506
Ozaukee,Wisconsin,0.14565
Pierce,Wisconsin,3.2733
Polk,Wisconsin,9.016
Racine,Wisconsin,0.22997
Richland,Wisconsin,3.8558
Rock,Wisconsin,0.55193
St. Croix,Wisconsin,4.1088
Sauk,Wisconsin,6.5041
Shawano,Wisconsin,18.115
Sheboygan,Wisconsin,0.88156
Trempealeau,Wisconsin,4.7834
Vernon,Wisconsin,5.642
Vilas,Wisconsin,35.816
Walworth,Wisconsin,0.67458
Washington,Wisconsin,1.5638
Lamar,Alabama,27.395
Coffee,Alabama,27.95
Colbert,Alabama,16.737
Conecuh,Alabama,62.518
Coosa,Alabama,35.054
Covington,Alabama,46.786
Crenshaw,Alabama,50.857
Cullman,Alabama,17.19
Lauderdale,Alabama,15.774
Lawrence,Alabama,7.7359
Lee,Alabama,30.758
Limestone,Alabama,6.688
Lowndes,Alabama,27.36
Macon,Alabama,29.014
Madison,Alabama,11.033
Bibb,Alabama,37.305
Blount,Alabama,24.548
Bullock,Alabama,31.585
Clay,Alabama,30.184
Cleburne,Alabama,20.337
Dale,Alabama,15.414
Dallas,Alabama,49.529
DeKalb,Alabama,23.769
Elmore,Alabama,18.96
Escambia,Alabama,36.413
Etowah,Alabama,12.743
Fayette,Alabama,27.831
Morgan,Alabama,8.957
Perry,Alabama,42.671
Pickens,Alabama,45.079
Pike,Alabama,29.915
Trinity,California,45.375
Tulare,California,3.3039
Tuolumne,California,20.414
Ventura,California,0
Yolo,California,0
Yuba,California,3.5339
Adams,Colorado,0
Alamosa,Colorado,0
Arapahoe,Colorado,0
Franklin,Alabama,19.294
Geneva,Alabama,19.653
Greene,Alabama,44.021
Hale,Alabama,49.143
Henry,Alabama,26.811
Houston,Alabama,13.635
Jackson,Alabama,50.901
Jefferson,Alabama,19.843
Craighead,Arkansas,0.4676
Crawford,Arkansas,4.2155
Marengo,Alabama,71.885
Jackson,Arkansas,1.2401
Jefferson,Arkansas,27.007
Johnson,Arkansas,17.313
Lafayette,Arkansas,24.597
Lawrence,Arkansas,6.0919
Lee,Arkansas,2.5557
Lincoln,Arkansas,35.989
Little River,Arkansas,39.701
Logan,Arkansas,18.887
Lonoke,Arkansas,7.6144
Madison,Arkansas,18.09
Marion,Arkansas,4.4715
Miller,Arkansas,21.018
Mississippi,Arkansas,0.64038
Monroe,Arkansas,5.2428
Las Animas,Colorado,0.62092
Bristol Bay,Alaska,0
Denali,Alaska,0
Dillingham,Alaska,0
Fairbanks North Star,Alaska,29.619
Haines,Alaska,0
Juneau,Alaska,0
Kenai Peninsula,Alaska,0
Ketchikan Gateway,Alaska,0
Kodiak Island,Alaska,0
Lake and Peninsula,Alaska,0
Matanuska-Susitna,Alaska,0
Nome,Alaska,0
North Slope,Alaska,0
Northwest Arctic,Alaska,0
Marion,Alabama,42.507
Marshall,Alabama,9.4936
Mobile,Alabama,34.602
Monroe,Alabama,81.061
Randolph,Alabama,25.257
Russell,Alabama,29.974
St. Clair,Alabama,32.48
Shelby,Alabama,31.26
Sumter,Alabama,79.994
Talladega,Alabama,18.104
Tallapoosa,Alabama,43.939
Tuscaloosa,Alabama,66.28
Walker,Alabama,21.448
Washington,Alabama,81.964
Wilcox,Alabama,67.365
Winston,Alabama,22.459
Aleutians East,Alaska,0
Aleutians West,Alaska,0
Anchorage,Alaska,0
Bethel,Alaska,0
Prince of Wales-Outer Ketchikan,Alaska,172.89
Sitka,Alaska,0
Skagway-Hoonah-Angoon,Alaska,0
Southeast Fairbanks,Alaska,0
Valdez-Cordova,Alaska,0
Wade Hampton,Alaska,0
Wrangell-Petersburg,Alaska,0
Yakutat,Alaska,0
Yukon-Koyukuk,Alaska,0
Apache,Arizona,15.791
Cochise,Arizona,0
Coconino,Arizona,6.4215
Gila,Arizona,0.99654
Graham,Arizona,0.58259
Greenlee,Arizona,0
La Paz,Arizona,0
Maricopa,Arizona,0
Archuleta,Colorado,1.4258
Santa Cruz,Arizona,0.015331
Yavapai,Arizona,0.5596
Yuma,Arizona,0
Arkansas,Arkansas,10.885
Ashley,Arkansas,133.17
Baxter,Arkansas,3.5946
Benton,Arkansas,6.0612
Fresno,California,2.5373
Glenn,California,2.3994
Humboldt,California,104.31
Imperial,California,0
Inyo,California,0
Boone,Arkansas,3.3676
Bradley,Arkansas,116.91
Calhoun,Arkansas,59.81
Carroll,Arkansas,4.7262
Chicot,Arkansas,6.0895
Clark,Arkansas,120.98
Clay,Arkansas,4.2639
Lassen,California,51.101
Los Angeles,California,0
Madera,California,0.038329
Cleburne,Arkansas,19.326
Cleveland,Arkansas,77.406
Columbia,Arkansas,44.196
Conway,Arkansas,16.031
Cross,Arkansas,0.83379
Dallas,Arkansas,91.993
Desha,Arkansas,14.166
Drew,Arkansas,78.097
Faulkner,Arkansas,6.3348
Franklin,Arkansas,4.1371
Fulton,Arkansas,16.665
Garland,Arkansas,31.139
Grant,Arkansas,59.506
Greene,Arkansas,0.3998
Hempstead,Arkansas,37.408
Hot Spring,Arkansas,43.658
Montgomery,Arkansas,20.851
Nevada,Arkansas,45.253
Mendocino,California,52.38
Merced,California,0
Modoc,California,12.719
Mono,California,0
Monterey,California,0
Napa,California,0.12265
Nevada,California,20.061
Orange,California,0
Placer,California,22.926
Plumas,California,85.915
Riverside,California,0
Sacramento,California,0
San Benito,California,0.030663
Newton,Arkansas,8.7536
Ouachita,Arkansas,64.907
Perry,Arkansas,37.227
Phillips,Arkansas,4.6967
Pike,Arkansas,89.761
Poinsett,Arkansas,0.25533
San Luis Obispo,California,0
San Mateo,California,1.9318
Santa Barbara,California,0
Santa Clara,California,1.9318
Polk,Arkansas,51.69
Pope,Arkansas,22.566
Prairie,Arkansas,6.7051
Pulaski,Arkansas,12.395
Randolph,Arkansas,8.3556
St. Francis,Arkansas,3.3717
Saline,Arkansas,35.985
Scott,Arkansas,30.068
Siskiyou,California,106.26
Solano,California,0
Searcy,Arkansas,12.153
Sebastian,Arkansas,1.2985
Sevier,Arkansas,39.115
Sharp,Arkansas,6.4822
Stone,Arkansas,14.37
Union,Arkansas,113.43
Van Buren,Arkansas,38.157
Washington,Arkansas,10.001
White,Arkansas,30.506
Cheyenne,Colorado,0
Clear Creek,Colorado,0
Conejos,Colorado,0.20697
Costilla,Colorado,1.2955
Crowley,Colorado,0
Custer,Colorado,0.091988
Delta,Colorado,5.3913
Denver,Colorado,0
Dolores,Colorado,1.8244
Douglas,Colorado,0.022997
Eagle,Colorado,0
Elbert,Colorado,0
El Paso,Colorado,0.045994
Fremont,Colorado,0.16098
Garfield,Colorado,0.14565
Gilpin,Colorado,0
Grand,Colorado,1.8781
Gunnison,Colorado,0.72058
Hinsdale,Colorado,0
Huerfano,Colorado,0.038329
Mineral,Colorado,0.099654
Moffat,Colorado,0
Montezuma,Colorado,0.81256
Montrose,Colorado,0.5596
Morgan,Colorado,0
Otero,Colorado,0
Phillips,Colorado,0
Kent,Delaware,3.4112
New Castle,Delaware,1.0962
Sussex,Delaware,8.7212
District of Columbia,District of Columbia,0
Alachua,Florida,27.019
Baker,Florida,17.655
Bay,Florida,50.49
Bradford,Florida,18.998
Brevard,Florida,1.3574
Broward,Florida,0
Calhoun,Florida,68.832
Charlotte,Florida,1.105
Citrus,Florida,0.8562
Clay,Florida,30.62
Collier,Florida,0
Columbia,Florida,21.658
Prowers,Colorado,0
Pueblo,Colorado,0.045994
Rio Blanco,Colorado,0
Rio Grande,Colorado,0.076657
Routt,Colorado,0.12265
Sedgwick,Colorado,0
Appling,Georgia,57.652
Atkinson,Georgia,19.007
Bacon,Georgia,27.164
Baker,Georgia,3.4655
Baldwin,Georgia,9.5821
Banks,Georgia,3.952
Barrow,Georgia,1.4117
Teller,Colorado,0
Yuma,Colorado,0
Fairfield,Connecticut,0.10732
DeSoto,Florida,1.0838
Crawford,Georgia,14.193
Crisp,Georgia,4.9732
Hardee,Florida,0
Hendry,Florida,0
Hernando,Florida,1.0968
Highlands,Florida,1.7678
Hillsborough,Florida,0.35557
Holmes,Florida,18.704
Indian River,Florida,0
Jackson,Florida,63.266
Jefferson,Florida,13.344
Lafayette,Florida,29.018
Lake,Florida,6.2252
Lee,Florida,0.059557
Leon,Florida,16.725
Levy,Florida,58.854
Liberty,Florida,23.65
Madison,Florida,45.282
Manatee,Florida,0
Marion,Florida,28.052
Martin,Florida,0
Miami-Dade,Florida,0
Monroe,Florida,0
Nassau,Florida,69.196
Okaloosa,Florida,22.604
Okeechobee,Florida,0
Orange,Florida,0.171
Osceola,Florida,0.54191
Palm Beach,Florida,0
Bartow,Georgia,13.598
Ben Hill,Georgia,9.3109
Bleckley,Georgia,14.818
Brantley,Georgia,27.652
Brooks,Georgia,12.059
Bryan,Georgia,20.651
Bulloch,Georgia,45.297
Burke,Georgia,66.254
Butts,Georgia,7.7512
Calhoun,Georgia,3.3894
Camden,Georgia,40.975
Candler,Georgia,14.884
Carroll,Georgia,33.135
Catoosa,Georgia,4.077
Charlton,Georgia,53.367
Chatham,Georgia,6.8431
Chattahoochee,Georgia,5.6478
Chattooga,Georgia,14.101
Cherokee,Georgia,8.9335
Clarke,Georgia,1.1823
Dade,Georgia,0.63449
Dawson,Georgia,3.9266
Decatur,Georgia,15.315
DeKalb,Georgia,0.4906
Dodge,Georgia,44.101
Dooly,Georgia,14.612
Dougherty,Georgia,3.7703
Douglas,Georgia,4.6407
Early,Georgia,12.242
Echols,Georgia,21.148
Effingham,Georgia,49.911
Elbert,Georgia,19.756
Emanuel,Georgia,45.419
Evans,Georgia,11.233
Fannin,Georgia,2.2791
Fayette,Georgia,0.47586
Floyd,Georgia,29.217
Forsyth,Georgia,3.7544
Franklin,Georgia,6.0742
Fulton,Georgia,9.647
Gilmer,Georgia,7.9735
Glascock,Georgia,14.254
Glynn,Georgia,26.405
Gordon,Georgia,11.216
Grady,Georgia,17.421
Greene,Georgia,30.976
Gwinnett,Georgia,5.7033
Habersham,Georgia,5.2769
Hall,Georgia,4.0139
Hancock,Georgia,36.094
Clark,Idaho,2.3764
Haralson,Georgia,17.46
Heard,Georgia,17.184
Jenkins,Georgia,30.185
Johnson,Georgia,28.954
Jones,Georgia,16.429
Gallatin,Illinois,0.82023
Greene,Illinois,0.5136
Grundy,Illinois,0.061326
Hamilton,Illinois,2.9755
Hancock,Illinois,2.6753
Lamar,Georgia,15.074
Mercer,Illinois,4.0074
Monroe,Illinois,2.5527
Montgomery,Illinois,2.9047
Miller,Georgia,4.1312
Paulding,Georgia,17.595
Peach,Georgia,2.7679
Decatur,Kansas,0
Dickinson,Kansas,0.0076657048
Doniphan,Kansas,0.31429
Douglas,Kansas,0.030663
Pickens,Georgia,6.7193
Polk,Georgia,7.8904
Randolph,Georgia,15.768
Richmond,Georgia,18.611
Rockdale,Georgia,0.7878
Bell,Kentucky,15.215
Boone,Kentucky,4.8028
Bourbon,Kentucky,0.62387
Boyd,Kentucky,9.0426
Boyle,Kentucky,1.5673
Bracken,Kentucky,9.5769
Breathitt,Kentucky,13.042
Breckinridge,Kentucky,38.429
Bullitt,Kentucky,3.8735
Butler,Kentucky,13.759
Caldwell,Kentucky,21.444
Schley,Georgia,13.303
Sumter,Georgia,16.092
Talbot,Georgia,22.601
Taliaferro,Georgia,13.091
Tattnall,Georgia,26.051
Taylor,Georgia,20.663
Telfair,Georgia,50.534
Terrell,Georgia,5.1773
Thomas,Georgia,20.302
Tift,Georgia,11.41
Toombs,Georgia,28.186
Towns,Georgia,0.48412
Treutlen,Georgia,11.292
Jefferson,Kentucky,0.39566
Jessamine,Kentucky,0.61031
Johnson,Kentucky,9.252
Kenton,Kentucky,3.2898
Knott,Kentucky,2.1912
Knox,Kentucky,44.033
Larue,Kentucky,8.0542
Laurel,Kentucky,58.556
Lawrence,Kentucky,10.498
Lee,Kentucky,26.581
Leslie,Kentucky,25.267
Letcher,Kentucky,28.917
Lewis,Kentucky,44.783
Lincoln,Kentucky,6.2216
Livingston,Kentucky,18.097
Troup,Georgia,29.82
Turner,Georgia,5.4645
Twiggs,Georgia,33.085
Union,Georgia,1.5084
Upson,Georgia,18.952
Walker,Georgia,6.7417
Walton,Georgia,4.5387
